transaction_id,customer_id,customer_contact,customer_name,amount,payment_method,failure_reason,failure_source,attempt_number,timestamp
txn_ff44d323514647,cust_49c4a9c1,+919876301629,Customer_a9c1,6969.84,card,incorrect_otp,customer,1,2026-08-29T12:48:59
txn_7661fb8a3f6048,cust_79c7e109,+919876835392,Customer_e109,3646.81,card,insufficient_funds,customer,1,2026-08-29T12:51:59
txn_55a50528bb364a,cust_85d8195d,+919876331148,Customer_195d,6589.91,upi,network_error,gateway,1,2026-08-29T14:20:59
txn_e21f9b72fb1049,cust_f17e96b7,+919876765822,Customer_96b7,24711.09,upi,network_error,gateway,1,2026-08-29T14:28:59
txn_246d3646ac9446,cust_fc3d3f97,+919876584714,Customer_3f97,24052.49,card,insufficient_funds,customer,1,2026-08-29T16:00:59
txn_257683832d514e,cust_15bd88d3,+919876126225,Customer_88d3,23658.64,netbanking,customer_cancelled,customer,1,2026-08-29T16:13:59
txn_8230bc3402ea4f,cust_592e3be4,+919876133326,Customer_3be4,6201.69,upi,insufficient_funds,customer,1,2026-08-29T16:24:59
txn_436ecf5d606243,cust_665a0bcc,+919876325772,Customer_0bcc,16722.3,card,card_declined_by_bank,bank,1,2026-08-29T16:41:59
txn_98bf170943c649,cust_9ee6ae21,+919876771088,Customer_ae21,11160.8,card,customer_cancelled,customer,1,2026-08-29T17:31:59
txn_a4f87ce43cde4e,cust_4c778dc5,+919876988662,Customer_8dc5,463.41,card,card_declined_by_bank,bank,1,2026-08-29T19:31:59
txn_ad36a87491e04a,cust_60957a53,+919876440035,Customer_7a53,16719.99,card,incorrect_otp,customer,1,2026-08-29T19:40:59
txn_77d3788f3e2947,cust_59222fa9,+919876738720,Customer_2fa9,6739.3,upi,insufficient_funds,customer,1,2026-08-29T20:19:59
txn_2ca4bc7c6c0c43,cust_2ab550df,+919876391476,Customer_50df,8935.91,upi,upi_bank_downtime,bank,1,2026-08-29T20:42:59
txn_bd3f5b99ad1940,cust_2693e95d,+919876197251,Customer_e95d,7569.52,card,card_not_enabled_online,customer,1,2026-08-29T21:03:59
txn_c2e9cb94dd4346,cust_b3bf2ce1,+919876850800,Customer_2ce1,10480.99,card,card_declined_by_bank,bank,1,2026-08-29T21:13:59
txn_2ee2636a750b4a,cust_7494758c,+919876948749,Customer_758c,21620.07,card,card_declined_by_bank,bank,1,2026-08-29T21:16:59
txn_5e59482c0cbb46,cust_c767fdc6,+919876900581,Customer_fdc6,2928.91,card,card_declined_by_bank,bank,1,2026-08-30T01:22:59
txn_26d9c9a91e5445,cust_0c8a7ef3,+919876460663,Customer_7ef3,2442.62,card,incorrect_otp,customer,1,2026-08-30T02:35:59
txn_129a34eabfc149,cust_e867cc7c,+919876864544,Customer_cc7c,14720.62,card,insufficient_funds,customer,1,2026-08-30T03:16:59
txn_26f440408b164e,cust_62f058ba,+919876913694,Customer_58ba,24228.56,card,insufficient_funds,customer,1,2026-08-30T03:27:59
txn_b1f4e30ce2ba43,cust_b42cd48f,+919876816751,Customer_d48f,14468.74,card,card_expired,customer,1,2026-08-30T05:07:59
txn_877cdafa13f14b,cust_02b52b1f,+919876230889,Customer_2b1f,24971.72,netbanking,network_error,gateway,1,2026-08-30T06:09:59
txn_23542f34638a4d,cust_02b52b1f,+919876230889,Customer_2b1f,2277.49,card,insufficient_funds,customer,1,2026-08-30T07:49:59
txn_29bdc616359442,cust_85d8195d,+919876331148,Customer_195d,8158.27,card,card_declined_by_bank,bank,1,2026-08-30T08:20:59
txn_2029d5e9b17b49,cust_62f058ba,+919876913694,Customer_58ba,11511.03,upi,insufficient_funds,customer,1,2026-08-30T08:37:59
txn_61ed0dd039ea42,cust_f4ccc8ed,+919876158655,Customer_c8ed,9210.59,upi,insufficient_funds,customer,1,2026-08-30T08:40:59
txn_5ccbc6ca23db45,cust_90b58155,+919876452944,Customer_8155,9806.85,card,insufficient_funds,customer,1,2026-08-30T10:53:59
txn_eace15271a1d44,cust_4695997f,+919876338968,Customer_997f,4318.56,upi,upi_bank_downtime,bank,1,2026-08-30T12:30:59
txn_a23d925af84948,cust_30720f48,+919876802729,Customer_0f48,18026.84,netbanking,network_error,gateway,1,2026-08-30T13:25:59
txn_772b2dcc165b44,cust_60957a53,+919876440035,Customer_7a53,15760.97,card,incorrect_otp,customer,1,2026-08-30T14:35:59
txn_e09dc177689342,cust_c0bacf1c,+919876344098,Customer_cf1c,16618.8,card,network_error,gateway,1,2026-08-30T15:36:59
txn_ddaef2a3ddd54b,cust_592e3be4,+919876133326,Customer_3be4,5472.78,card,incorrect_otp,customer,1,2026-08-30T16:01:59
txn_ab3abcc0c0fe4b,cust_e0eb528a,+919876267414,Customer_528a,17339.91,card,incorrect_otp,customer,1,2026-08-30T16:14:59
txn_f65d8df3cd104d,cust_fd0f520e,+919876330283,Customer_520e,11466.09,card,network_error,gateway,1,2026-08-30T16:25:59
txn_9d8c29c8c7ff47,cust_8f515dbc,+919876719176,Customer_5dbc,17054.04,upi,upi_collect_expired,customer,1,2026-08-30T16:49:59
txn_5a765764b47b4d,cust_c1bf603f,+919876383060,Customer_603f,21315.37,upi,upi_bank_downtime,bank,1,2026-08-30T17:13:59
txn_0070c5d43a0140,cust_000d8f27,+919876660086,Customer_8f27,7666.55,netbanking,network_error,gateway,1,2026-08-30T18:37:59
txn_6db14075868f49,cust_592e3be4,+919876133326,Customer_3be4,17479.82,card,card_expired,customer,1,2026-08-30T19:31:59
txn_b546675aeee044,cust_2ab550df,+919876391476,Customer_50df,10063.96,card,incorrect_otp,customer,1,2026-08-30T23:09:59
txn_1c804e48dcdc49,cust_179f1164,+919876356702,Customer_1164,14675.32,upi,upi_wrong_bank_account,customer,1,2026-08-30T23:31:59
txn_119f0843be0d49,cust_13b33fd0,+919876895667,Customer_3fd0,24188.49,upi,customer_cancelled,customer,1,2026-08-30T23:46:59
txn_b585da41f21046,cust_c676edd3,+919876865179,Customer_edd3,15938.79,upi,upi_collect_expired,customer,1,2026-08-31T00:56:59
txn_4ab9b2106bde40,cust_9c79be17,+919876793384,Customer_be17,7098.51,upi,network_error,gateway,1,2026-08-31T02:02:59
txn_541db0ef7eef48,cust_79c7e109,+919876835392,Customer_e109,20077.01,netbanking,network_error,gateway,1,2026-08-31T03:58:59
txn_38a3cb95f7af4a,cust_c767fdc6,+919876900581,Customer_fdc6,978.11,card,incorrect_otp,customer,1,2026-08-31T06:32:59
txn_4daaeaf14edd43,cust_59222fa9,+919876738720,Customer_2fa9,6779.12,upi,upi_bank_downtime,bank,1,2026-08-31T07:13:59
txn_2d4853147e0748,cust_9ee6ae21,+919876771088,Customer_ae21,10364.89,card,card_declined_by_bank,bank,1,2026-08-31T08:54:59
txn_42376ab141384f,cust_9f7c6ae2,+919876145561,Customer_6ae2,13107.06,netbanking,network_error,gateway,1,2026-08-31T10:34:59
txn_64d6d526d12947,cust_62f058ba,+919876913694,Customer_58ba,24113.42,upi,upi_collect_expired,customer,1,2026-08-31T10:53:59
txn_39ff0ea661c44e,cust_49c4a9c1,+919876301629,Customer_a9c1,18798.34,card,customer_cancelled,customer,1,2026-08-31T13:13:59
txn_74274e11f8bd48,cust_4c778dc5,+919876988662,Customer_8dc5,14017.11,card,card_expired,customer,1,2026-08-31T14:47:59
txn_21d3bb028a554e,cust_e82f1819,+919876391704,Customer_1819,17537.38,upi,insufficient_funds,customer,1,2026-08-31T17:06:59
txn_8c3ece8c453b42,cust_fec6c946,+919876148050,Customer_c946,13974.81,upi,upi_bank_downtime,bank,1,2026-08-31T17:16:59
txn_53688cd573384d,cust_dcf7d4cb,+919876172933,Customer_d4cb,10566.74,upi,upi_collect_expired,customer,1,2026-08-31T18:17:59
txn_74886e35277647,cust_c47bc376,+919876905635,Customer_c376,15454.42,card,card_declined_by_bank,bank,1,2026-08-31T19:08:59
txn_5770419765a74e,cust_a95cb226,+919876263032,Customer_b226,19597.49,netbanking,network_error,gateway,1,2026-08-31T20:55:59
txn_781a340d148e4f,cust_f2a56d10,+919876127824,Customer_6d10,22913.41,upi,upi_collect_expired,customer,1,2026-08-31T20:57:59
txn_286005ff834e44,cust_a7759c5e,+919876809570,Customer_9c5e,4373.09,upi,upi_collect_expired,customer,1,2026-08-31T21:58:59
txn_ab3c5d647d2449,cust_b42cd48f,+919876816751,Customer_d48f,8410.13,upi,upi_collect_expired,customer,1,2026-08-31T22:08:59
txn_880f891f92694a,cust_ec8da647,+919876539898,Customer_a647,24521.25,card,customer_cancelled,customer,1,2026-08-31T22:23:59
txn_f9da4a8c30374e,cust_c8816352,+919876279451,Customer_6352,24185.65,upi,upi_bank_downtime,bank,1,2026-08-31T23:32:59
txn_b2a575de14004d,cust_fd0f520e,+919876330283,Customer_520e,770.86,upi,upi_bank_downtime,bank,1,2026-08-31T23:39:59
txn_4d26b2f65a0f4e,cust_a3da9ef1,+919876379946,Customer_9ef1,10722.77,card,card_not_enabled_online,customer,1,2026-09-01T00:15:59
txn_c4dee8f6a79441,cust_665a0bcc,+919876325772,Customer_0bcc,9625.9,card,fraud_suspected,bank,1,2026-09-01T00:53:59
txn_6b0ab0867c8e40,cust_b939a09f,+919876944962,Customer_a09f,18034.89,upi,upi_bank_downtime,bank,1,2026-09-01T00:55:59
txn_5fc2610d920a43,cust_a95cb226,+919876263032,Customer_b226,1984.47,card,incorrect_otp,customer,1,2026-09-01T00:57:59
txn_a08e1a42fd9a44,cust_9c79be17,+919876793384,Customer_be17,9614.47,upi,upi_collect_expired,customer,1,2026-09-01T01:08:59
txn_9db0eeb63e1345,cust_179f1164,+919876356702,Customer_1164,14935.84,upi,insufficient_funds,customer,1,2026-09-01T01:09:59
txn_8e0aa5ea704145,cust_000d8f27,+919876660086,Customer_8f27,3919.42,card,fraud_suspected,bank,1,2026-09-01T01:32:59
txn_3cf5239591ef4d,cust_3ec3b016,+919876781453,Customer_b016,1969.53,card,card_not_enabled_online,customer,1,2026-09-01T02:29:59
txn_a2db2a520d994a,cust_7494758c,+919876948749,Customer_758c,3003.9,upi,network_error,gateway,1,2026-09-01T02:46:59
txn_9f4e4d7bf19440,cust_fd0f520e,+919876330283,Customer_520e,10182.82,upi,upi_collect_expired,customer,1,2026-09-01T03:00:59
txn_301c2852adb240,cust_8f515dbc,+919876719176,Customer_5dbc,11916.99,card,insufficient_funds,customer,1,2026-09-01T04:08:59
txn_39d475c5283d4e,cust_ed42458d,+919876182627,Customer_458d,21064.48,upi,insufficient_funds,customer,1,2026-09-01T04:28:59
txn_36135c2f59f444,cust_0ae0b6af,+919876581741,Customer_b6af,3339.53,upi,upi_collect_expired,customer,1,2026-09-01T05:21:59
txn_65fc053ebb2e47,cust_dcf7d4cb,+919876172933,Customer_d4cb,20888.69,card,insufficient_funds,customer,1,2026-09-01T06:10:59
txn_47028cf667144b,cust_3c172fe8,+919876388389,Customer_2fe8,21827.72,card,card_expired,customer,1,2026-09-01T08:22:59
txn_0bed627d77ca45,cust_f852cffe,+919876731262,Customer_cffe,4051.87,card,incorrect_otp,customer,1,2026-09-01T08:27:59
txn_dd25354432cc4c,cust_f7c49269,+919876817870,Customer_9269,8494.81,card,incorrect_otp,customer,1,2026-09-01T08:29:59
txn_b95ec338321e49,cust_79c7e109,+919876835392,Customer_e109,11381.33,upi,upi_wrong_bank_account,customer,1,2026-09-01T08:51:59
txn_61004454537e4e,cust_451320b1,+919876191161,Customer_20b1,24122.31,upi,upi_wrong_bank_account,customer,1,2026-09-01T09:38:59
txn_6e5bbf0c6dcd49,cust_f7055718,+919876174870,Customer_5718,13552.57,card,card_declined_by_bank,bank,1,2026-09-01T09:59:59
txn_1310515d77d44a,cust_e0eb528a,+919876267414,Customer_528a,17787.1,upi,upi_collect_expired,customer,1,2026-09-01T10:02:59
txn_063611c36a1c40,cust_e62e0729,+919876201414,Customer_0729,20710.37,card,incorrect_otp,customer,1,2026-09-01T11:31:59
txn_6ab7962bedee48,cust_a3da9ef1,+919876379946,Customer_9ef1,1233.64,upi,network_error,gateway,1,2026-09-01T11:39:59
txn_7e868c6df29e41,cust_451320b1,+919876191161,Customer_20b1,10741.9,card,card_expired,customer,1,2026-09-01T11:39:59
txn_78fe4574bf2a4b,cust_5bb89e3e,+919876271339,Customer_9e3e,15943.29,card,card_declined_by_bank,bank,1,2026-09-01T12:28:59
txn_969b922642c94b,cust_f7c49269,+919876817870,Customer_9269,23757.48,card,card_not_enabled_online,customer,1,2026-09-01T14:45:59
txn_3363d87a917b44,cust_2693e95d,+919876197251,Customer_e95d,14969.76,upi,insufficient_funds,customer,1,2026-09-01T15:08:59
txn_279f8222d5ec43,cust_b3bf2ce1,+919876850800,Customer_2ce1,7700.29,card,incorrect_otp,customer,1,2026-09-01T15:59:59
txn_11f452a9fded4c,cust_85d8195d,+919876331148,Customer_195d,24508.08,card,incorrect_otp,customer,1,2026-09-01T17:28:59
txn_bc87525e595948,cust_5cfb05eb,+919876472528,Customer_05eb,2276.48,card,insufficient_funds,customer,1,2026-09-01T19:02:59
txn_8a8d0d55b28741,cust_e82f1819,+919876391704,Customer_1819,12281.5,upi,upi_wrong_bank_account,customer,1,2026-09-01T19:36:59
txn_870282841fea4f,cust_3ec3b016,+919876781453,Customer_b016,18061.87,netbanking,customer_cancelled,customer,1,2026-09-01T19:41:59
txn_090387c03ee449,cust_9c79be17,+919876793384,Customer_be17,1099.69,card,card_expired,customer,1,2026-09-01T22:51:59
txn_c8fa5cbc27ce41,cust_b951dcad,+919876542417,Customer_dcad,6720.8,card,network_error,gateway,1,2026-09-01T22:54:59
txn_bb28b0fca15747,cust_e867cc7c,+919876864544,Customer_cc7c,5676.48,upi,customer_cancelled,customer,1,2026-09-01T23:18:59
txn_f92d6595982146,cust_ea6f904e,+919876717889,Customer_904e,4664.97,card,card_declined_by_bank,bank,1,2026-09-02T00:24:59
txn_c7aaae8773bc41,cust_c86f8ef0,+919876662275,Customer_8ef0,7214.83,netbanking,customer_cancelled,customer,1,2026-09-02T00:26:59
txn_d2cc20f2579745,cust_a3da9ef1,+919876379946,Customer_9ef1,22777.83,upi,upi_bank_downtime,bank,1,2026-09-02T00:48:59
txn_2fbc9161912048,cust_cb9ff3c8,+919876974628,Customer_f3c8,8344.62,card,insufficient_funds,customer,1,2026-09-02T00:55:59
txn_6971964961cd46,cust_30720f48,+919876802729,Customer_0f48,4908.79,card,card_declined_by_bank,bank,1,2026-09-02T01:51:59
txn_394ff1e7cf2243,cust_f2a56d10,+919876127824,Customer_6d10,21295.18,card,card_declined_by_bank,bank,1,2026-09-02T04:15:59
txn_f4365e7a787140,cust_574a4340,+919876479201,Customer_4340,20788.64,upi,upi_bank_downtime,bank,1,2026-09-02T04:50:59
txn_6fc7b6b09c0945,cust_b951dcad,+919876542417,Customer_dcad,22948.13,card,card_not_enabled_online,customer,1,2026-09-02T05:46:59
txn_a1e6177cd90a4c,cust_fc3d3f97,+919876584714,Customer_3f97,18144.91,card,card_declined_by_bank,bank,1,2026-09-02T05:58:59
txn_de833d29373a4e,cust_90b58155,+919876452944,Customer_8155,7439.19,card,card_declined_by_bank,bank,1,2026-09-02T06:22:59
txn_c5d1a0b2613d4f,cust_ee4a5d21,+919876876646,Customer_5d21,20818.53,card,card_not_enabled_online,customer,1,2026-09-02T06:50:59
txn_ea5d0d3f033b4a,cust_7494758c,+919876948749,Customer_758c,15723.7,upi,upi_wrong_bank_account,customer,1,2026-09-02T07:52:59
txn_44d2d586221e47,cust_02b52b1f,+919876230889,Customer_2b1f,16199.69,upi,upi_wrong_bank_account,customer,1,2026-09-02T10:32:59
txn_faffbe8577ad41,cust_e88d6e93,+919876770487,Customer_6e93,6788.24,netbanking,customer_cancelled,customer,1,2026-09-02T11:18:59
txn_9d92fd513f3c4e,cust_11aca68d,+919876779514,Customer_a68d,2681.25,upi,upi_bank_downtime,bank,1,2026-09-02T12:59:59
txn_cb5f406398c04f,cust_7494758c,+919876948749,Customer_758c,24176.19,card,incorrect_otp,customer,1,2026-09-02T14:05:59
txn_c5b0dd6bc4ea4d,cust_9fda7835,+919876407419,Customer_7835,1495.97,upi,upi_collect_expired,customer,1,2026-09-02T14:49:59
txn_7c9da711251045,cust_c47bc376,+919876905635,Customer_c376,23728.53,card,card_declined_by_bank,bank,1,2026-09-02T15:17:59
txn_c5f35d6f1bca4b,cust_30720f48,+919876802729,Customer_0f48,22251.16,card,card_not_enabled_online,customer,1,2026-09-02T15:21:59
txn_c8902878a3b943,cust_e82f1819,+919876391704,Customer_1819,13896.61,netbanking,customer_cancelled,customer,1,2026-09-02T15:24:59
